id,season,date,venue,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2
605,2017,24-04-2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,BA Stokes,A Nand Kishore,S Ravi
606,2017,26-04-2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,RV Uthappa,AY Dandekar,NJ Llong
607,2017,27-04-2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,AK Chaudhary,C Shamshuddin
608,2017,28-04-2017,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,G Gambhir,NJ Llong,S Ravi
609,2017,28-04-2017,"IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,Nitin Menon,CK Nandan
610,2017,29-04-2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,LH Ferguson,KN Ananthapadmanabhan,M Erasmus
611,2017,29-04-2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,KH Pandya,AK Chaudhary,CB Gaffaney
612,2017,30-04-2017,"IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,10,Sandeep Sharma,YC Barde,CK Nandan
613,2017,30-04-2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,DA Warner,AY Dandekar,S Ravi
614,2017,01-05-2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,RG Sharma,AK Chaudhary,CB Gaffaney
615,2017,01-05-2017,"Maharashtra Cricket Association Stadium, Pune",Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,5,BA Stokes,M Erasmus,C Shamshuddin
616,2017,02-05-2017,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Mohammed Shami,YC Barde,Nitin Menon
617,2017,03-05-2017,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,RA Tripathi,KN Ananthapadmanabhan,A Nand Kishore
618,2017,04-05-2017,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,RR Pant,M Erasmus,Nitin Menon
619,2017,05-05-2017,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,Sandeep Sharma,CB Gaffaney,C Shamshuddin
620,2017,06-05-2017,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,JD Unadkat,KN Ananthapadmanabhan,AK Chaudhary
621,2017,06-05-2017,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,LMP Simmons,Nitin Menon,CK Nandan
622,2017,07-05-2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,AY Dandekar,C Shamshuddin
623,2017,07-05-2017,"IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,DR Smith,A Nand Kishore,VK Sharma
624,2017,08-05-2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,S Dhawan,KN Ananthapadmanabhan,M Erasmus
625,2017,09-05-2017,"IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,MM Sharma,A Nand Kishore,S Ravi
626,2017,10-05-2017,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,SS Iyer,YC Barde,AK Chaudhary
627,2017,11-05-2017,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,WP Saha,A Deshmukh,A Nand Kishore
628,2017,12-05-2017,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,KK Nair,KN Ananthapadmanabhan,CK Nandan
629,2017,13-05-2017,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Mohammed Siraj,AK Chaudhary,Nitin Menon
630,2017,13-05-2017,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,AT Rayudu,A Nand Kishore,S Ravi
631,2017,14-05-2017,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,JD Unadkat,AY Dandekar,A Deshmukh
632,2017,14-05-2017,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,HV Patel,CK Nandan,C Shamshuddin
633,2017,16-05-2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,Washington Sundar,S Ravi,C Shamshuddin
634,2017,17-05-2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,NM Coulter-Nile,AK Chaudhary,Nitin Menon
635,2017,19-05-2017,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,KV Sharma,NJ Llong,Nitin Menon
636,2017,21-05-2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,KH Pandya,NJ Llong,S Ravi
637,2018,07-04-2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,1,DJ Bravo,Chris Gaffaney,A Nanda Kishore
638,2018,08-04-2018,"IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KL Rahul,Rod Tucker,K Ananthapadmanabhan
639,2018,08-04-2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,SP Narine,C Shamshuddin,A.D Deshmukh
640,2018,09-04-2018,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,S Dhawan,Nigel Llong,Vineet Kulkarni
641,2018,10-04-2018,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,SW Billings,Anil Chaudhary,Chris Gaffaney
642,2018,11-04-2018,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,1,Rajasthan Royals,10,0,SV Samson,K Ananthapadmanabhan,Rod Tucker
643,2018,12-04-2018,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,1,Rashid Khan,O Nandan,Nigel Llong
644,2018,13-04-2018,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,UT Yadav,S Ravi,A.D Deshmukh
645,2018,14-04-2018,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,JJ Roy,K Ananthapadmanabhan,Nitin Menon
646,2018,14-04-2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,B Stanlake,A Nanda Kishore,Anil Chaudhary
647,2018,15-04-2018,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,19,0,SV Samson,C Shamshuddin,S Ravi
648,2018,15-04-2018,"IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings XI Punjab,4,0,CH Gayle,Vineet Kulkarni,O Nandan
649,2018,16-04-2018,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kolkata Knight Riders,71,0,N Rana,Anil Chaudhary,A Nanda Kishore
650,2018,17-04-2018,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,46,0,RG Sharma,Rod Tucker,Nitin Menon
651,2018,18-04-2018,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,N Rana,S Ravi,A.D Deshmukh
652,2018,19-04-2018,"IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Kings XI Punjab,15,0,CH Gayle,Nigel Llong,Anil Chaudhary
653,2018,20-04-2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,64,0,SR Watson,Nitin Menon,K Ananthapadmanabhan
654,2018,21-04-2018,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,1,Kings XI Punjab,0,9,KL Rahul,C Shamshuddin,A.D Deshmukh
655,2018,21-04-2018,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,AB de Villiers,Chris Gaffaney,O Nandan
656,2018,22-04-2018,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,4,0,AT Rayudu,Anil Chaudhary,Vineet Kulkarni
657,2018,22-04-2018,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,3,J Archer,Rod Tucker,K Ananthapadmanabhan
658,2018,23-04-2018,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings XI Punjab,4,0,AS Rajpoot,O Nandan,A Nanda Kishore
659,2018,24-04-2018,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,31,0,Rashid Khan,C Shamshuddin,S Ravi
660,2018,25-04-2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,MS Dhoni,Nigel Llong,Virender Kumar Sharma
661,2018,26-04-2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,13,0,AS Rajpoot,O Nandan,Yeshwant Barde
662,2018,27-04-2018,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Daredevils,55,0,SS Iyer,C Shamshuddin,S Ravi
663,2018,28-04-2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RG Sharma,Chris Gaffaney,Nitin Menon
664,2018,29-04-2018,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,11,0,KS Williamson,Bruce Oxenford,A Nanda Kishore
665,2018,29-04-2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,CA Lynn,Nigel Llong,Anil Chaudhary
666,2018,30-04-2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,13,0,SR Watson,C Shamshuddin,Anil Dandekar
667,2018,01-05-2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,14,0,TG Southee,Marais Erasmus,Nitin Menon
668,2018,02-05-2018,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,1,Delhi Daredevils,4,0,RR Pant,O Nandan,Virender Kumar Sharma
669,2018,03-05-2018,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,Kumar Dharmasena,A.D Deshmukh
670,2018,04-05-2018,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,AS Yadav,S Ravi,Anil Dandekar
671,2018,05-05-2018,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,RA Jadeja,Nitin Menon,Yeshwant Barde
672,2018,05-05-2018,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,7,Rashid Khan,Bruce Oxenford,O Nandan
673,2018,06-05-2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,13,0,HH Pandya,Kumar Dharmasena,A.D Deshmukh
674,2018,06-05-2018,Holkar Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,M Ur Rahman,C Shamshuddin,S Ravi
675,2018,07-05-2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,5,0,KS Williamson,Bruce Oxenford,Virender Kumar Sharma
676,2018,08-05-2018,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,0,Rajasthan Royals,15,0,JC Buttler,Marais Erasmus,Nitin Menon
677,2018,09-05-2018,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,102,0,Ishan Kishan,Anil Chaudhary,K Ananthapadmanabhan
678,2018,10-05-2018,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,9,S Dhawan,C Shamshuddin,Anil Dandekar
679,2018,11-05-2018,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,4,JC Buttler,Marais Erasmus,Yeshwant Barde
680,2018,12-05-2018,Holkar Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,31,0,SP Narine,O Nandan,Virender Kumar Sharma
681,2018,12-05-2018,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,Kumar Dharmasena,Anil Chaudhary
682,2018,13-05-2018,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,AT Rayudu,Marais Erasmus,Yeshwant Barde
683,2018,13-05-2018,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,JC Buttler,Nitin Menon,S Ravi
684,2018,14-05-2018,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,UT Yadav,Bruce Oxenford,Virender Kumar Sharma
685,2018,15-05-2018,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Kuldeep Yadav,Kumar Dharmasena,Anil Chaudhary
686,2018,16-05-2018,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Mumbai Indians,3,0,JJ Bumrah,Marais Erasmus,Nitin Menon
687,2018,17-05-2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,14,0,AB de Villiers,S Ravi,Anil Dandekar
688,2018,18-05-2018,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Delhi Daredevils,34,0,HV Patel,Kumar Dharmasena,Vineet Kulkarni
689,2018,19-05-2018,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,30,0,S Gopal,Bruce Oxenford,Virender Kumar Sharma
690,2018,19-05-2018,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,5,CA Lynn,Anil Chaudhary,S Ravi
691,2018,20-05-2018,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Delhi Daredevils,11,0,A Mishra,Kumar Dharmasena,O Nandan
692,2018,20-05-2018,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,L Ngidi,Nitin Menon,Yeshwant Barde
693,2018,22-05-2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,2,F du Plessis,Marais Erasmus,C Shamshuddin
694,2018,23-05-2018,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,25,0,AD Russell,Nitin Menon,Anil Chaudhary
695,2018,25-05-2018,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,14,0,Rashid Khan,Nitin Menon,Kumar Dharmasena
696,2018,27-05-2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,SR Watson,Marais Erasmus,S Ravi
697,2019,23-03-2019,M. A. Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,Harbhajan Singh,Bruce Oxenford,Anil Dandekar
698,2019,24-03-2019,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,AD Russell,Chris Gaffaney,Anil Chaudhary
699,2019,24-03-2019,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,37,0,RR Pant,S Ravi,Yeshwant Barde
700,2019,25-03-2019,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,14,0,CH Gayle,C Shamshuddin,KN Anantapadmanabhan
701,2019,26-03-2019,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Chennai Super Kings,0,6,SR Watson,Marais Erasmus,Nitin Menon
702,2019,27-03-2019,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,28,0,AD Russell,Anil Chaudhary,Vineet Kulkarni
703,2019,28-03-2019,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,6,0,JJ Bumrah,S Ravi,O Nandan
704,2019,29-03-2019,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,0,5,Rashid Khan,Bruce Oxenford,C Shamshuddin
705,2019,30-03-2019,"IS Bindra Stadium, Mohali",Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,MA Agarwal,Vineet Kulkarni,Chris Gaffaney
706,2019,30-03-2019,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,tie,0,Delhi Capitals,0,0,P Shaw,Anil Dandekar,Nitin Menon
707,2019,31-03-2019,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,118,0,J Bairstow,S Ravi,KN Anantapadmanabhan
708,2019,31-03-2019,M. A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,8,0,MS Dhoni,O Nandan,Yeshwant Barde
709,2019,01-04-2019,"IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,Kings XI Punjab,14,0,S Curran,Anil Chaudhary,Chris Gaffaney
710,2019,02-04-2019,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,S Gopal,Marais Erasmus,Anil Dandekar
711,2019,03-04-2019,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,37,0,HH Pandya,Bruce Oxenford,Rod Tucker
712,2019,04-04-2019,Feroz Shah Kotla,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,J Bairstow,C Shamshuddin,KN Anantapadmanabhan
713,2019,05-04-2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,AD Russell,Anil Chaudhary,Chris Gaffaney
714,2019,06-04-2019,M. A. Chidambaram Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,Harbhajan Singh,KN Ananthapadmanabhan,Rod Tucker
715,2019,06-04-2019,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,40,0,A Joseph,Anil Dandekar,Nitin Menon
716,2019,07-04-2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,4,K Rabada,S Ravi,Yeshwant Barde
717,2019,07-04-2019,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,H Gurney,Chris Gaffaney,Anil Chaudhary
718,2019,08-04-2019,"IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KL Rahul,Marais Erasmus,Anil Dandekar
719,2019,09-04-2019,M. A. Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,DL Chahar,Rod Tucker,C Shamshuddin
720,2019,10-04-2019,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,3,KA Pollard,Yeshwant Barde,S Ravi
721,2019,11-04-2019,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,MS Dhoni,Bruce Oxenford,Ulhas Gandhe
722,2019,12-04-2019,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,S Dhawan,Yeshwant Barde,O Nandan
723,2019,13-04-2019,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,JC Buttler,Nitin Menon,Nanda Kishore
724,2019,13-04-2019,"IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,AB de Villiers,S Ravi,Ulhas Gandhe
725,2019,14-04-2019,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,Imran Tahir,Rod Tucker,O Nandan
726,2019,14-04-2019,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Delhi Capitals,39,0,K Paul,Anil Chaudhary,Bruce Oxenford
727,2019,15-04-2019,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,SL Malinga,Marais Erasmus,Nitin Menon
728,2019,16-04-2019,"IS Bindra Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,12,0,R Ashwin,Anil Chaudhary,Vineet Kulkarni
729,2019,17-04-2019,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Sunrisers Hyderabad,0,6,DA Warner,Ian Gould,Ulhas Gandhe
730,2019,18-04-2019,Feroz Shah Kotla,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,40,0,HH Pandya,Nigel Llong,Bruce Oxenford
731,2019,19-04-2019,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,10,0,V Kohli,Ian Gould,Nitin Menon
732,2019,20-04-2019,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,SPD Smith,S Ravi,Yeshwant Barde
733,2019,20-04-2019,Feroz Shah Kotla,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,5,SS Iyer,Ulhas Gandhe,C Shamshuddin
734,2019,21-04-2019,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,K Ahmed,Nitin Menon,Nigel Llong
735,2019,21-04-2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,1,0,PA Patel,Vineet Kulkarni,Rod Tucker
